domain_filled,count
Other,209
Product/Project Management,193
Engineering/IT,124
Finance/Legal/HR,66
Operations/Administration,57
Marketing/Sales,49
Design/Creative,17
Healthcare/Education,6
Data/ML/Analytics,5
Product/Project,2
Engineering/Software,2
