col,dtype,non_null_rate,example_len_stats
talentCard.jobs[10].employment_period,object,0.0123,p50=17;p95=17;max=18
talentCard.jobs[11].employment_period,object,0.0041,p50=17;p95=17;max=18
talentCard.jobs[12].employment_period,object,0.0014,p50=18;p95=18;max=18
talentCard.jobs[0].responsibilities,object,0.7027,p50=229;p95=596;max=1237
talentCard.jobs[1].responsibilities,object,0.6973,p50=315;p95=649;max=1104
talentCard.jobs[2].responsibilities,object,0.6548,p50=366;p95=678;max=1754
talentCard.jobs[3].responsibilities,object,0.5288,p50=396;p95=692;max=1961
talentCard.jobs[4].responsibilities,object,0.3904,p50=367;p95=630;max=1317
talentCard.jobs[5].responsibilities,object,0.2425,p50=381;p95=671;max=1060
talentCard.jobs[6].responsibilities,object,0.1438,p50=332;p95=633;max=959
talentCard.jobs[7].responsibilities,object,0.0877,p50=322;p95=658;max=906
talentCard.jobs[8].responsibilities,object,0.0562,p50=335;p95=662;max=774
talentCard.jobs[9].responsibilities,object,0.0301,p50=402;p95=843;max=976
talentCard.jobs[10].responsibilities,object,0.0123,p50=493;p95=690;max=773
talentCard.jobs[11].responsibilities,object,0.0041,p50=357;p95=459;max=471
talentCard.jobs[12].responsibilities,object,0.0014,p50=80;p95=80;max=80
talentCard.jobs[0].achievements,object,0.4521,p50=206;p95=637;max=1429
talentCard.jobs[1].achievements,object,0.5123,p50=244;p95=728;max=2238
talentCard.jobs[2].achievements,object,0.5452,p50=262;p95=745;max=1384
talentCard.jobs[3].achievements,object,0.4274,p50=305;p95=933;max=1425
talentCard.jobs[4].achievements,object,0.3164,p50=279;p95=692;max=1167
talentCard.jobs[5].achievements,object,0.1918,p50=292;p95=693;max=1147
talentCard.jobs[6].achievements,object,0.1096,p50=287;p95=755;max=1035
talentCard.jobs[7].achievements,object,0.0658,p50=251;p95=745;max=1522
talentCard.jobs[8].achievements,object,0.0438,p50=235;p95=759;max=946
talentCard.jobs[9].achievements,object,0.0233,p50=228;p95=422;max=478
talentCard.jobs[10].achievements,object,0.011,p50=267;p95=544;max=662
talentCard.jobs[11].achievements,object,0.0027,p50=339;p95=414;max=423
talentCard.jobs[12].achievements,object,0.0014,p50=148;p95=148;max=148
cvGenerationLanguage,object,0.7274,p50=2;p95=2;max=2
supabaseTalentId,object,0.7082,p50=36;p95=36;max=36
talentCard,float64,0.0,
talentCard.jobs[0].chronology_order,float64,0.7164,p50=3;p95=3;max=3
talentCard.jobs[1].chronology_order,float64,0.7082,p50=3;p95=3;max=3
talentCard.jobs[2].chronology_order,float64,0.6603,p50=3;p95=3;max=3
talentCard.jobs[3].chronology_order,float64,0.5342,p50=3;p95=3;max=3
talentCard.jobs[4].chronology_order,float64,0.3945,p50=3;p95=3;max=3
talentCard.jobs[5].chronology_order,float64,0.2507,p50=3;p95=3;max=3
talentCard.jobs[6].chronology_order,float64,0.1452,p50=3;p95=3;max=3
talentCard.jobs[7].chronology_order,float64,0.0904,p50=3;p95=3;max=3
talentCard.jobs[8].chronology_order,float64,0.0562,p50=3;p95=3;max=3
talentCard.jobs[9].chronology_order,float64,0.0288,p50=3;p95=3;max=3
talentCard.jobs[10].chronology_order,float64,0.0123,p50=4;p95=4;max=4
talentCard.jobs[11].chronology_order,float64,0.0041,p50=4;p95=4;max=4
talentCard.jobs[12].chronology_order,float64,0.0014,p50=4;p95=4;max=4
talentCard.specialist_category,object,0.7137,p50=16;p95=26;max=26
cvEnhancedForLanguage,float64,0.0,
cvEnhancedForPosition,float64,0.0,
cvGenerationStartedAt,float64,0.0,
cvGenerationStatus,object,0.537,p50=4;p95=4;max=4
banEvidencePath,object,0.0822,p50=56;p95=57;max=57
banReason,object,0.0822,p50=21;p95=21;max=21
bannedAt,object,0.0822,p50=24;p95=24;max=24
isBanned,object,0.0822,p50=4;p95=4;max=4
cvAnalysisStartedAt,float64,0.0,
cvAnalysisStatus,object,0.4918,p50=9;p95=9;max=9
