domain_filled,count,domain_display_full,domain_display_short,domain_display
Product/Project Management,241,Product/Project Management,Product/Project Management,Product/Project Management
Finance/Legal/HR,139,Finance/Legal/HR,Finance/Legal/HR,Finance/Legal/HR
Engineering/IT,61,Engineering/IT,Engineering/IT,Engineering/IT
Design/Creative,40,Design/Creative,Design/Creative,Design/Creative
Marketing/Sales,18,Marketing/Sales,Marketing/Sales,Marketing/Sales
Operations/Administration,15,Operations/Administration,Operations/Administration,Operations/Administration
Data/ML/Analytics,14,Data/ML/Analytics,Data/ML/Analytics,Data/ML/Analytics
Healthcare/Education,3,Healthcare/Education,Healthcare/Education,Healthcare/Education
