token_norm,count,token_display
layer 1 / layer 2,1,Layer 1 / Layer 2
crypto marketing & community growth,1,Crypto Marketing & Community Growth
bizdev,1,Bizdev
sap bw/bpc,1,Sap Bw/Bpc
sap hcm,1,Sap Hcm
sap re-fx,1,Sap Re-Fx
sap mm,1,Sap Mm
sap crm,1,Sap Crm
regional go-to-market (mena,1,Regional Go-To-Market (Mena
executive governance & reporting,1,Executive Governance & Reporting
advanced analytics & power bi,1,Advanced Analytics & Power Bi
цифровая трансформация (erp,1,Цифровая Трансформация (Erp
wms,1,Wms
c++ (c++17/20,1,C++ (C++17/20
regulated govtech environments,1,Regulated Govtech Environments
defi: amm,1,Defi: Amm
digital pathology platforms & annotation tools,1,Digital Pathology Platforms & Annotation Tools
spss,1,Spss
globaldata,1,Globaldata
zymewire,1,Zymewire
competitive landscape research,1,Competitive Landscape Research
ai-augmented project planning & reporting,1,Ai-Augmented Project Planning & Reporting
ci/cd (github actions,1,Ci/Cd (Github Actions
linux/macos/windows,1,Linux/Macos/Windows
mysql/mariadb/postgresql,1,Mysql/Mariadb/Postgresql
ms axapta,1,Ms Axapta
финолог,1,финолог
amocrm,1,Amocrm
wrike,1,Wrike
google таблицы,1,Google Таблицы
jira workflows & documentation,1,Jira Workflows & Documentation
sap hr,1,Sap Hr
elasticsearch,1,Elasticsearch
1с (enterprise,1,1С (Enterprise
docflow,1,Docflow
itsm,1,Itsm
plm windchill,1,Plm Windchill
jira / confluence (admin,1,Jira / Confluence (Admin
sales operations & sales excellence,1,Sales Operations & Sales Excellence
jira & confluence (admin),1,Jira & Confluence (Admin)
excel (power pivot,1,Excel (Power Pivot
erp (в т.ч. sap-класса,1,Erp (В Т.Ч. Sap-Класса
azure virtual desktop,1,Azure Virtual Desktop
sap (fte,1,Sap (Fte
servicenow (assets,1,Servicenow (Assets
cis,1,Cis
financial forecasting,1,Financial Forecasting
agile (scrum/kanban,1,Agile (Scrum/Kanban
backlog & standups,1,Backlog & Standups
risk & change management,1,Risk & Change Management
sql (ms sql,1,Sql (Ms Sql
go-to-market (b2b,1,Go-To-Market (B2B
sap bo,1,Sap Bo
corporate governance (board reporting,1,Corporate Governance (Board Reporting
defect tracking (jira,1,Defect Tracking (Jira
automation basics (python,1,Automation Basics (Python
digital-маркетинг (саит,1,Digital-Маркетинг (Саит
sap erp & 1c integrations,1,Sap Erp & 1C Integrations
jira & confluence (admin,1,Jira & Confluence (Admin
yield farming,1,Yield Farming
ci/cd (повышение зрелости процессов,1,Ci/Cd (Повышение Зрелости Процессов
argocd,1,Argocd
data governance & stewardship,1,Data Governance & Stewardship
streaming (kafka,1,Streaming (Kafka
aws (s3,1,Aws (S3
digital identity,1,Digital Identity
gost / cu tr compliance,1,Gost / Cu Tr Compliance
payments & card processing,1,Payments & Card Processing
pci dss,1,Pci Dss
high-load services,1,High-Load Services
agile planning,1,Agile Planning
технологическии контекст (понимание): java,1,Технологическии Контекст (Понимание): Java
методологии и практики: agile,1,Методологии И Практики: Agile
roadmap,1,Roadmap
фасилитация,1,фасилитация
multi-stream governance,1,Multi-Stream Governance
java (8/11/17/21/25,1,Java (8/11/17/21/25
oracle sql / pl/sql,1,Oracle Sql / Pl/Sql
kubernetes / openshift,1,Kubernetes / Openshift
sap business bydesign,1,Sap Business Bydesign
1c:предприятие,1,1C:Предприятие
operational excellence,1,Operational Excellence
elt/etl orchestration (apache airflow,1,Elt/Etl Orchestration (Apache Airflow
industrial digital transformation,1,Industrial Digital Transformation
risk & dependency management,1,Risk & Dependency Management
ci/cd и репозитории (self-hosted gitlab,1,Ci/Cd И Репозитории (Self-Hosted Gitlab
oracle fusion,1,Oracle Fusion
product analytics (sql,1,Product Analytics (Sql
technology strategy & governance,1,Technology Strategy & Governance
cloud strategy (aws,1,Cloud Strategy (Aws
sap s4hana,1,Sap S4Hana
1c erp,1,1C Erp
sql (transact-sql,1,Sql (Transact-Sql
data quality & governance,1,Data Quality & Governance
edi (sap-based,1,Edi (Sap-Based
java (8--25,1,Java (8--25
project planning & governance,1,Project Planning & Governance
mssql,1,Mssql
customer journey mapping (cjm,1,Customer Journey Mapping (Cjm
segmentation,1,Segmentation
personas,1,Personas
jtbd,1,Jtbd
nps and csat measurement,1,Nps And Csat Measurement
data visualization and storytelling,1,Data Visualization And Storytelling
автоматизация hr-процессов (sap,1,Автоматизация Hr-Процессов (Sap
pmo governance,1,Pmo Governance
budget & cost management,1,Budget & Cost Management
requirements governance (прослеживаемость vision--testing,1,Requirements Governance (Прослеживаемость Vision--Testing
figma/pixso,1,Figma/Pixso
erp-трансформации: sap (fi,1,Erp-Трансформации: Sap (Fi
sql (базово,1,Sql (Базово
автоматизация финансов (oracle netsuite,1,Автоматизация Финансов (Oracle Netsuite
category & portfolio management,1,Category & Portfolio Management
fmcg go-to-market (rtm,1,Fmcg Go-To-Market (Rtm
new category launch (rrp,1,New Category Launch (Rrp
investment governance,1,Investment Governance
sap (бизнес-заказчик,1,Sap (Бизнес-Заказчик
digital pr & integrated campaigns,1,Digital Pr & Integrated Campaigns
design systems (figma components,1,Design Systems (Figma Components
python 3.11,1,Python 3.11
docker/docker compose,1,Docker/Docker Compose
prometheus/grafana,1,Prometheus/Grafana
sql (в т.ч. explain analyze,1,Sql (В Т.Ч. Explain Analyze
tableau prep,1,Tableau Prep
thinkcell,1,Thinkcell
upslide,1,Upslide
service delivery governance,1,Service Delivery Governance
ит governance,1,Ит Governance
sql (запросы,1,Sql (Запросы
vendor governance & compliance controls,1,Vendor Governance & Compliance Controls
resource allocation,1,Resource Allocation
service desk / itsm (jira service desk,1,Service Desk / Itsm (Jira Service Desk
vendor/outsourcing management,1,Vendor/Outsourcing Management
kpi reporting (sla,1,Kpi Reporting (Sla
mttr,1,Mttr
mtta,1,Mtta
cycle time,1,Cycle Time
1c:firstbit,1,1C:Firstbit
program/project governance,1,Program/Project Governance
sap hana / sap s/4hana cloud private edition (rise with sap,1,Sap Hana / Sap S/4Hana Cloud Private Edition (Rise With Sap
cloud & infrastructure: hybrid cloud,1,Cloud & Infrastructure: Hybrid Cloud
iaas/paas/saas,1,Iaas/Paas/Saas
vmware,1,Vmware
vdi,1,Vdi
aruba sd-branch,1,Aruba Sd-Branch
serviceguard clusters,1,Serviceguard Clusters
microsoft technology stack,1,Microsoft Technology Stack
dwh/bi,1,Dwh/Bi
micro focus vertica,1,Micro Focus Vertica
microsoft project,1,Microsoft Project
stakeholder management (b2b/b2g/ngo,1,Stakeholder Management (B2B/B2G/Ngo
crm/erp: sap r/3,1,Crm/Erp: Sap R/3
