token_norm,count,token_display
strategic negotiations,1,Strategic Negotiations
scala,1,Scala
product analytics (google analytics,1,Product Analytics (Google Analytics
figma (базовыи,1,Figma (Базовыи
прототипирование (figma,1,Прототипирование (Figma
scope & backlog governance,1,Scope & Backlog Governance
logos,1,Logos
java ee,1,Java Ee
go-to-market & market entry,1,Go-To-Market & Market Entry
jv shareholder governance (eni,1,Jv Shareholder Governance (Eni
ai платформа «джун»,1,Ai Платформа «Джун»
investment governance & phase-gate approvals,1,Investment Governance & Phase-Gate Approvals
advanced excel & powerpoint,1,Advanced Excel & Powerpoint
co2-лазерные платформы,1,Co2-Лазерные Платформы
микротоковые аппараты,1,микротоковые аппараты
аппараты skin для аппаратнои чистки,1,Аппараты Skin Для Аппаратнои Чистки
netsuite (oracle,1,Netsuite (Oracle
kafka administration,1,Kafka Administration
hydrafacial,1,Hydrafacial
apache kafka (взаимодеиствие,1,Apache Kafka (Взаимодеиствие
information security & data governance,1,Information Security & Data Governance
e-staff,1,E-Staff
secret rf,1,Secret Rf
morpheus8,1,Morpheus8
deepkeek и др,1,Deepkeek И Др
apache/nginx/mysql/memcached,1,Apache/Nginx/Mysql/Memcached
ulthera,1,Ulthera
ultraformer,1,Ultraformer
soprano titanium,1,Soprano Titanium
data governance (dama-dmbok,1,Data Governance (Dama-Dmbok
adobe photoshop,1,Adobe Photoshop
sketch,1,Sketch
bigquery,1,Bigquery
stakeholder management (government,1,Stakeholder Management (Government
digital transformation (govtech,1,Digital Transformation (Govtech
java (8--17,1,Java (8--17
ci/cd collaboration,1,Ci/Cd Collaboration
government & sovereign stakeholder management,1,Government & Sovereign Stakeholder Management
linkedin,1,Linkedin
email/sms/whatsapp crm (mindbox,1,Email/Sms/Whatsapp Crm (Mindbox
delivery excellence (time-to-market,1,Delivery Excellence (Time-To-Market
yandex direct,1,Yandex Direct
яндекс.директ,1,яндекс.директ
lovable,1,Lovable
dashboards (tableau,1,Dashboards (Tableau
oracle mstr,1,Oracle Mstr
