company,count,share_%
"ТОО ""Протэк-Алматы"" (Концерн ""Протэк"")",1,0.1
Unicorn,1,0.1
ПАО «Газпром нефть»,1,0.1
Dialogue by Pheon,1,0.1
KOMUS,1,0.1
Parqour (Parking Management and Automation Services Provider),1,0.1
ОТЭКО,1,0.1
Solva Technology Ltd.,1,0.1
Canvas Reply,1,0.1
Easy in IT | Daniil Nikolaev,1,0.1
Международная группа «RATIONAL» (с 2023 г. ООО «Компонент»)),1,0.1
Welltory,1,0.1
Ambula Health,1,0.1
"ecom.tech (Самокат, ООО «Умное пространство» )",1,0.1
Bayhan / Second Home,1,0.1
NSIGN,1,0.1
Full-cycle software development company (Healthcare & Finance),1,0.1
PST Home GmbH,1,0.1
Банк ВТБ (ПАО),1,0.1
NFON AG,1,0.1
Jetcode,1,0.1
Beamtrail,1,0.1
AI Assistant Project (Retail),1,0.1
Home Credit Bank (home.kz),1,0.1
"Budushchee Tekhnologiy LLC (T1 Holding, Innotech Group)",1,0.1
Avito,1,0.1
"Ренессанс Страхование, Группа",1,0.1
Madlan,1,0.1
LLC Promio,1,0.1
GS STUDI LTD,1,0.1
stroyportal.ru,1,0.1
ООО «Сокроф»,1,0.1
ЗАО ``Дзеньги'' (FinTech),1,0.1
EPAM,1,0.1
LSG Group,1,0.1
RobotAttacs,1,0.1
Tony Lead Company,1,0.1
VAMEON,1,0.1
Larixon Classified (200+ сотрудников),1,0.1
Start X,1,0.1
ProhorovaConsult,1,0.1
VIVA LA VIKA/CHOUX,1,0.1
"ООО ""Руслет"" (первый производитель канатных дорог в РФ)",1,0.1
АНО «Центр поддержки и развития детских и молодёжных проектов «Твое Время»,1,0.1
Elemtat,1,0.1
АО «ИНЛАЙН ГРУП»,1,0.1
STRATOPLAN MANAGEMENT SCHOOL,1,0.1
Chevron Corporation,1,0.1
Sportmaster Lab,1,0.1
In8inity Telecom,1,0.1
MIRA Search,1,0.1
Ecom.tech (Samokat.tech),1,0.1
uForce,1,0.1
GXO Logistics (Primark client),1,0.1
"АО ""Эволента""",1,0.1
XSAT GLOBAL,1,0.1
FundCount Group LLC,1,0.1
Major Systems Integrator,1,0.1
Platformeco,1,0.1
"ООО ""РИТЭК"" (ЛУКОЙЛ)",1,0.1
Independent Practice / Freelance,1,0.1
"SRDI ""Caspiy Munay Gas"" JSC",1,0.1
Women in Tech Spain,1,0.1
"Smart Communication (Messenger Marketing / AI Agency, B2B)",1,0.1
ИП Махлин Д.Л.,1,0.1
Северсталь (Лаборатория Измерительных Систем),1,0.1
ADANI,1,0.1
ShipHawk,1,0.1
АО «ГалоПолимер»,1,0.1
X5 Digital,1,0.1
Sigli,1,0.1
GAODI & Brusnika Soft,1,0.1
Revizto --- Global BIM Collaboration Platform,1,0.1
Ikano Centres (Ikano Retail | IKEA),1,0.1
ENTER Engineering Pte. LTD,1,0.1
Росгеология,1,0.1
Aaron Metals,1,0.1
АО «Раменское приборостроительное конструкторское бюро»,1,0.1
"ТОО ""Wisk telecom solutions""",1,0.1
ТОО Марвеком,1,0.1
GlobalFoundries,1,0.1
Vigor Maker,1,0.1
ALVAREZ & MARSAL Middle East,1,0.1
G5 Entertainment AB,1,0.1
Aldi Süd International IT,1,0.1
ООО Газпромнефть-Цифровые решения,1,0.1
Avodeal LLC (US-based),1,0.1
ФГБУ Институт прикладной геофизики,1,0.1
QTECH,1,0.1
"АО ""Гулливер""",1,0.1
Praktika.ai,1,0.1
Elanco Rus (Eli Lilly),1,0.1
Би-Джи-Си Партнерс Си-Ай-Эс,1,0.1
Gurnick Academy,1,0.1
Abris Management,1,0.1
"ООО ""Студия Давыдова""",1,0.1
РУСАЛ / ЭН+ Холдинг,1,0.1
Softline,1,0.1
DotGov Solutions LLC,1,0.1
Group,1,0.1
ATG,1,0.1
OVB Allfinanz España,1,0.1
Открытый контакт (ok.by),1,0.1
Торгово-производственная группа компаний (NDA),1,0.1
ИВА,1,0.1
M-Files (via Ment acquisition),1,0.1
Heinemann Duty Free & Travel Retail,1,0.1
Philosophy IT LLC,1,0.1
Professional Home Health Services LLC,1,0.1
AWATERA,1,0.1
La Lorraine Bakery Group,1,0.1
АО Ланцет,1,0.1
PayU (Prosus/Naspers Group),1,0.1
First Service Residential,1,0.1
Career break,1,0.1
Teachbase,1,0.1
MSD Pharmaceuticals Russia (Merck subsidiary),1,0.1
"ТОО ""Wisk Telecom Solutions""",1,0.1
Freelancer (Remote),1,0.1
BearingPoint,1,0.1
Ёлва,1,0.1
Smart Driving Labs,1,0.1
Мантера-Групп,1,0.1
Yandex.Practicum,1,0.1
Dogma,1,0.1
ЗАО «Банковско-финансовая телесеть»,1,0.1
Promax Service Group Inc,1,0.1
Saber Interactive,1,0.1
Agrodigit (Subsidiary of Rostselmash),1,0.1
"ООО ""О Спорт""",1,0.1
Richemont SA (MEIAT Regional HQ),1,0.1
Netcracker Technology,1,0.1
Холдинг УРАЛХИМ,1,0.1
Rightech LLC (IoT SaaS platform),1,0.1
La Redoute,1,0.1
Mantera Travel (ГК «Мантера»),1,0.1
ДОМ.РФ,1,0.1
